Course Name,Course Description,Course University,Course University Tag,Course Link,Course Provider,Course Duration,Course Pricing
Introduction to adolescent mental health,This free course provides an introduction to adolescent mental health. The course is designed to encourage a greater understanding of mental health issues as well as to explore the variety of ...,The Open University,tou,/course/openlearn-introduction-adolescent-mental-health-c-95535,OpenLearn,24 hours worth of material,Free Certificate
Introduction to child psychology,"Childhood is a time of rapid growth and development, and studying these changes is endlessly stimulating.  In this free course, Introduction to child psychology, you will be introduced to the ...",The Open University,tou,/course/openlearn-childhood-youth-introduction-child-psyc-95538,OpenLearn,8 hours worth of material,Free Certificate
Learning to teach: mentoring and tutoring student teachers,This is the second of four courses which comprise the course Learning to teach. Traditionally student teachers are supported by a mentor in school and a tutor from a university. Both play ...,The Open University,tou,/course/openlearn-education-development-learning-teach-me-95579,OpenLearn,5 hours worth of material,Free Certificate
Information security,Information security underpins the commercial viability and profitability of enterprises of all sizes and the effectiveness of public sector organisations. This free course begins by explaining why...,The Open University,tou,/course/openlearn-science-maths-technology-information-se-96035,OpenLearn,10 hours worth of material,Free Certificate
The Roman Empire: introducing some key terms,"This free course, The Roman Empire: Introducing some key terms, will define basic concepts and terms that are essential for an understanding of the culture and identity of the Roman Empire. Terms ...",The Open University,tou,/course/openlearn-history-the-roman-empire-introducing-so-95815,OpenLearn,14 hours worth of material,Free Certificate
Commercial awareness,"This short course encourages you to look across your organisation, at your place within it and the value you create. It considers how getting different perspectives and widening existing ones ...",The Open University,tou,/course/openlearn-leadership-management-commercial-awaren-95405,OpenLearn,2 hours worth of material,Free Certificate
Challenging Wealth and Income Inequality,"From religious leaders to heads of state, everyone is talking about economic inequality. But what form does this take in different countries? What impact does it have on society? And why does it matter to you? This online course will explore these growin…",The Open University,tou,/course/inequalities-in-personal-finance-3246,FutureLearn,"3 hours a week, 4 weeks long",Free Online Course (Audit)
Supply chain sustainability,"To survive in today’s competitive environment, organisations need not only have an efficient and effective supply chain for the context in which they operate, they also have to consider issues of ...",The Open University,tou,/course/openlearn-leadership-management-supply-chain-sust-95912,OpenLearn,8 hours worth of material,Free Certificate
Exploring issues in women's health,"This free course, Exploring issues in women's health, will introduce social model approaches to health and wellbeing, which take as their starting point not the scientific context of the body, but ...",The Open University,tou,/course/openlearn-health-sports-psychology-exploring-issu-95886,OpenLearn,3 hours worth of material,Free Certificate
Introducing computing and IT,"This free course, Introducing computing and IT, provides a general overview of how digital technologies have come to dominate virtually every aspect of the modern world and some guidance on how to ...",The Open University,tou,/course/openlearn-computing-ict-introducing-computing-and-96040,OpenLearn,10 hours worth of material,Free Certificate
IT in everyday life,"We now live in a global village where distance is no longer a barrier to commercial or social contact. This free course, IT in everyday life, will enable you to gain an understanding of the ...",The Open University,tou,/course/openlearn-science-maths-technology-it-everyday-li-96061,OpenLearn,4 hours worth of material,Free Certificate
IT: e-government,"You can now access government directly through the web. While studying this free course, IT: e-government, you look at the scope of e-government, the databases that are necessary, the use of ...",The Open University,tou,/course/openlearn-science-maths-technology-it-e-governmen-96063,OpenLearn,20 hours worth of material,Free Certificate
Earth's physical resources: petroleum,"The discovery of the world's first major underground oil field in Pennsylvania, USA in 1859 sparked the continuing era of the world's reliance on cheap energy from oil and gas. This free course, ...",The Open University,tou,/course/openlearn-environmental-studies-earths-physical-r-95933,OpenLearn,12 hours worth of material,Free Certificate
Energy resources: solar energy,Energy from sources other than fossil and nuclear fuels is to a large extent free of the concerns about environmental effects and renewability that characterize those two sources. Each alternative ...,The Open University,tou,/course/openlearn-environmental-studies-energy-resources--95937,OpenLearn,2 hours worth of material,Free Certificate
Microbes – friend or foe?,"Microbes often get a bad name. Whilst some of them do cause disease, others play vital roles in recycling nutrients in the soil to enable plants to grow, and in breaking down human waste. Without ...",The Open University,tou,/course/openlearn-nature-environment-microbes-friend-or-f-95957,OpenLearn,2 hours worth of material,Free Certificate
The science of nuclear energy,"This free course, The science of nuclear energy, will delve into the science behind nuclear power and explain what happens inside a nuclear reactor and what it means for an element to be ...",The Open University,tou,/course/openlearn-the-science-nuclear-energy-content-sect-95968,OpenLearn,12 hours worth of material,Free Certificate
Supply chain sustainability,"To survive in today’s competitive environment, organisations need not only have an efficient and effective supply chain for the context in which they operate, they also have to consider issues of ...",The Open University,tou,/course/openlearn-leadership-management-supply-chain-sust-95912,OpenLearn,8 hours worth of material,Free Certificate
Exploring issues in women's health,"This free course, Exploring issues in women's health, will introduce social model approaches to health and wellbeing, which take as their starting point not the scientific context of the body, but ...",The Open University,tou,/course/openlearn-health-sports-psychology-exploring-issu-95886,OpenLearn,3 hours worth of material,Free Certificate
Introducing computing and IT,"This free course, Introducing computing and IT, provides a general overview of how digital technologies have come to dominate virtually every aspect of the modern world and some guidance on how to ...",The Open University,tou,/course/openlearn-computing-ict-introducing-computing-and-96040,OpenLearn,10 hours worth of material,Free Certificate
IT in everyday life,"We now live in a global village where distance is no longer a barrier to commercial or social contact. This free course, IT in everyday life, will enable you to gain an understanding of the ...",The Open University,tou,/course/openlearn-science-maths-technology-it-everyday-li-96061,OpenLearn,4 hours worth of material,Free Certificate
IT: e-government,"You can now access government directly through the web. While studying this free course, IT: e-government, you look at the scope of e-government, the databases that are necessary, the use of ...",The Open University,tou,/course/openlearn-science-maths-technology-it-e-governmen-96063,OpenLearn,20 hours worth of material,Free Certificate
Earth's physical resources: petroleum,"The discovery of the world's first major underground oil field in Pennsylvania, USA in 1859 sparked the continuing era of the world's reliance on cheap energy from oil and gas. This free course, ...",The Open University,tou,/course/openlearn-environmental-studies-earths-physical-r-95933,OpenLearn,12 hours worth of material,Free Certificate
Energy resources: solar energy,Energy from sources other than fossil and nuclear fuels is to a large extent free of the concerns about environmental effects and renewability that characterize those two sources. Each alternative ...,The Open University,tou,/course/openlearn-environmental-studies-energy-resources--95937,OpenLearn,2 hours worth of material,Free Certificate
Microbes – friend or foe?,"Microbes often get a bad name. Whilst some of them do cause disease, others play vital roles in recycling nutrients in the soil to enable plants to grow, and in breaking down human waste. Without ...",The Open University,tou,/course/openlearn-nature-environment-microbes-friend-or-f-95957,OpenLearn,2 hours worth of material,Free Certificate
The science of nuclear energy,"This free course, The science of nuclear energy, will delve into the science behind nuclear power and explain what happens inside a nuclear reactor and what it means for an element to be ...",The Open University,tou,/course/openlearn-the-science-nuclear-energy-content-sect-95968,OpenLearn,12 hours worth of material,Free Certificate
Critical criminology and the social sciences,"This free course, Critical criminology and the social sciences, will provide you with an insight into some of the main disciplines within the social sciences, focusing in particular on critical ...",The Open University,tou,/course/openlearn-society-politics-law-critical-criminolo-95413,OpenLearn,6 hours worth of material,Free Certificate
Drug development process: combating pain,"Drug development process: combating pain, is a free course offering a brief introduction to the process of new drug discovery; from identification of a suitable candidate drug molecule to the ...",The Open University,tou,/course/openlearn-science-maths-technology-drug-developme-95437,OpenLearn,2 hours worth of material,Free Certificate
Building relationships with donors,"Legacy fundraising and big-gift seeking are part of the professional fundraiser's role. This free course, Building relationships with donors, will help you to gain the skills necessary to persuade ...",The Open University,tou,/course/openlearn-business-strategy-studies-building-rela-95386,OpenLearn,6 hours worth of material,Free Certificate
Census stories: bringing statistics to life in Milton Keynes,"This free course brings national census data to life by highlighting the vibrant stories of the diverse residents of Milton Keynes. This ‘new town’ with an increasingly mixed population, serves as ...",The Open University,tou,/course/openlearn-religious-studies-census-stories-bringi-95392,OpenLearn,2 hours worth of material,Free Certificate
Are you ready for postgraduate study?,"This free course, Are you ready for postgraduate study, will help you to become familiar with the requirements and demands of postgraduate study and ensure you are ready to develop the skills and ...",The Open University,tou,/course/openlearn-are-you-ready-postgraduate-study-conten-95352,OpenLearn,20 hours worth of material,Free Certificate
"Engaging with postgraduate research: education, childhood & youth","In this free course, Engaging with postgraduate research: education, childhood &amp; youth, you will build on your understanding of how to evaluate research by thinking about a fundamental part of the ...",The Open University,tou,/course/openlearn-education-development-engaging-postgrad-95446,OpenLearn,10 hours worth of material,Free Certificate
The importance of interpersonal skills,"To succeed in management you need good interpersonal skills, you need to understand how to deal with other people. This free course, The importance of interpersonal skills, will help you gain an ...",The Open University,tou,/course/openlearn-leadership-management-the-importance-in-95505,OpenLearn,3 hours worth of material,Free Certificate
Visualisation: visual representations of data and information,"Modern society is often referred to as 'the information society' - but how can we make sense of all the information we are bombarded with? In this free course, Visualisation: visual representations...",The Open University,tou,/course/openlearn-science-maths-technology-visualisation--96149,OpenLearn,8 hours worth of material,Free Certificate
Potable water treatment,"Without it we are dead! Water is essential, but what processes must it go through to become fit for human consumption? This free course, Potable water treatment, will guide you through the ...",The Open University,tou,/course/openlearn-engineering-technology-potable-water-tr-96103,OpenLearn,20 hours worth of material,Free Certificate
Software and the law,"In this free course, Software and the law, you'll look at the laws relevant to software and its use, taking a global perspective. A major part of this course is devoted to intellectual-property...",The Open University,tou,/course/openlearn-science-maths-technology-software-and-t-96120,OpenLearn,8 hours worth of material,Free Certificate
Successful IT systems,"Information technology (IT) systems are a critical part of our world, in business and the public and voluntary sectors. They are often highly complex and interconnected combinations of technology, ...",The Open University,tou,/course/openlearn-computing-ict-successful-it-systems-96128,OpenLearn,9 hours worth of material,Free Certificate
Network security,"Encryption of files and firewalls are just some of the security measures that can be used in security. This free course, Network security, which assumes you have a substantial knowledge of ...",The Open University,tou,/course/openlearn-computing-ict-network-security-96095,OpenLearn,25 hours worth of material,Free Certificate
Number theory,This free course is an introduction to Number Theory. Section 1 provides a brief introduction to the kinds of problem that arise in Number Theory. Section 2 reviews and provides a more formal ...,The Open University,tou,/course/openlearn-science-maths-technology-number-theory-96097,OpenLearn,16 hours worth of material,Free Certificate
Studying medicine bilingually,"Are you interested in studying medicine at university? Then if so, this  unit is for you. It introduces a number of the factors that you need to  think about when applying to study medicine, and ...",The Open University,tou,/course/openlearn-healthcare-careers-studying-medicine-bi-95679,OpenLearn,1 hour of material,Free Certificate
An introduction to crime and criminology,"The course goes on to consider how social scientists and criminologists, in particular, study and seek to understand problems of crime. The course invites you to develop what can be called your ...",The Open University,tou,/course/openlearn-society-politics-law-introduction-crime-95541,OpenLearn,6 hours worth of material,Free Certificate
Social construction and social constructionism,"Within the field of social sciences the terms 'social construction' and 'social constructionism' are frequently used, particularly in relation to social policy. This free course, Social ...",The Open University,tou,/course/openlearn-sociology-social-construction-and-socia-95660,OpenLearn,1 hour of material,Free Certificate
Step up to leadership,"This free course is one in a series focusing on leadership, decision-making and communication in the context of policing with the community.&nbsp; This particular course focuses on the challenge of ...",The Open University,tou,/course/openlearn-leadership-management-step-leadership-95668,OpenLearn,4 hours worth of material,Free Certificate
"Psychological research, obedience and ethics","In this free course,  Psychological research, obedience and ethics, you will learn about the importance of ethics in research that is undertaken by psychologists. You will read about the famous ...",The Open University,tou,/course/openlearn-sociology-psychological-research-obedie-95637,OpenLearn,5 hours worth of material,Free Certificate
An introduction to intercultural competence in the workplace,You might think that knowing about country facts or differences between cultures is the key to being interculturally competent – but that is in fact only a small piece of the puzzle! Intercultural ...,The Open University,tou,/course/openlearn-an-introduction-intercultural-competenc-95549,OpenLearn,6 hours worth of material,Free Certificate
Developing your skills as an HR professional,"This free course, Developing your skills as an HR professional, will help you to develop some of the skills you will need to be effective as an HR professional. You will practise learning ...",The Open University,tou,/course/openlearn-money-business-developing-your-skills-h-95870,OpenLearn,9 hours worth of material,Free Certificate
Birth of a drug,"The search for new medicinal products is one of the major driving forces behind the development and application of new synthetic methods. This free course, Birth of a drug,  focuses on a specific ...",The Open University,tou,/course/openlearn-chemistry-birth-drug-95381,OpenLearn,4 hours worth of material,Free Certificate
Moons of our Solar System,"In this free course, Moons of our Solar System, explore the many moons of our Solar System. Find out what makes them special. Should we send humans to our Moon again?",The Open University,tou,/course/openlearn-moons-our-solar-system-content-section--96092,OpenLearn,24 hours worth of material,Free Certificate
Distributed paradigms,"This free course, Distributed paradigms, looks at some of the architectural and programming paradigms used in distributed system development. You will learn about synchronous and asynchronous ...",The Open University,tou,/course/openlearn-computing-ict-distributed-paradigms-96015,OpenLearn,4 hours worth of material,Free Certificate
Making creativity and innovation happen,The trailer below explores one aspect that will be covered in the course: the paradox of choice.&nbsp;,The Open University,tou,/course/openlearn-money-business-making-creativity-and-in-95894,OpenLearn,10 hours worth of material,Free Certificate
Project Management: Beyond the Basics,Build your existing project management knowledge and develop the skills to manage teams and deliver effective projects.,The Open University,tou,/course/project-management-beyond-the-basics-17226,FutureLearn,"3 hours a week, 4 weeks long",Free Online Course (Audit)
Becoming a Teacher,Take your first steps towards teaching with this practical course exploring the basics of what it means to become a teacher.,The Open University,tou,/course/thinking-about-teaching-19489,FutureLearn,"3 hours a week, 4 weeks long",Free Online Course (Audit)
The Online Educator: People and Pedagogy,"Design engaging courses, make your teaching more inclusive, navigate online research ethics and shape your digital identity.",The Open University,tou,/course/the-online-educator-10735,FutureLearn,"4 hours a week, 4 weeks long",Free Online Course (Audit)
"Why Religion Matters: Religious Literacy, Culture and Diversity",Discover why religion is important for understanding and engaging with global challenges.,The Open University,tou,/course/why-religion-matters-14493,FutureLearn,"3 hours a week, 4 weeks long",Free Online Course (Audit)
Global Ethics: An Introduction,Explore the key ethical theories surrounding global challenges and learn how philosophy can be used to address these problems.,The Open University,tou,/course/global-ethics-14503,FutureLearn,"3 hours a week, 4 weeks long",Free Online Course (Audit)
Low-Budget Video Production: Visual Communication for Small Charities,Understand how video can expand and enhance your organisation’s communications and develop practical skills for your productions.,The Open University,tou,/course/low-budget-video-production-for-small-charities-33568,FutureLearn,"3 hours a week, 4 weeks long",Free Online Course (Audit)
Studying mammals: The opportunists,"Many mammals are food specialists, with complex adaptations that gear them toward a particular food source. So how do the omnivores survive and prosper without these fancy evolutionary features? ...",The Open University,tou,/course/openlearn-natural-history-studying-mammals-the-op-95677,OpenLearn,10 hours worth of material,Free Certificate
Studying mammals: The social climbers,"Monkeys have long fascinated us because of their similarities to the human race. In this free course, Studying mammals: The social climbers, you will find out about some of the characteristics that...",The Open University,tou,/course/openlearn-natural-history-studying-mammals-the-so-95678,OpenLearn,10 hours worth of material,Free Certificate
Studying natural sciences bilingually,Thinking of studying a Natural Sciences course? Considering studying through the medium of Welsh and want to know what the benefits are? Not sure whether your Welsh is good enough? If you’re ...,The Open University,tou,/course/openlearn-science-maths-technology-studying-natur-95680,OpenLearn,1 hour of material,Free Certificate
Studying the arts and humanities,This free course is an introduction to studying the arts and humanities. It takes you through a series of exercises designed to develop your approach to study and learning at a distance and improve...,The Open University,tou,/course/openlearn-history-the-arts-studying-the-arts-and--95681,OpenLearn,4 hours worth of material,Free Certificate
Succeed in the workplace,"Do you want to change jobs, are you just starting in the job market or may be returning after a break? If so, then this free course, Succeed in the workplace, is for you. It will help you explore ...",The Open University,tou,/course/openlearn-succeed-the-workplace-content-section-o-95682,OpenLearn,24 hours worth of material,Free Certificate
Succeed with learning,"This course is for people who want to feel more confident about their learning skills. Informal in approach, the course builds on each person's own qualities, knowledge and skills to develop a ...",The Open University,tou,/course/openlearn-succeed-learning-content-section-overvi-95683,OpenLearn,24 hours worth of material,Free Certificate
Risk management,Recent decades have seen an array of news stories where risk management failings have undermined an organisation and dented the credibility of its management. These failings have led to the demise ...,The Open University,tou,/course/openlearn-risk-management-content-section-overvie-95908,OpenLearn,24 hours worth of material,Free Certificate
Rural entrepreneurship in Wales,"What are the important issues to consider when starting up or running a small business in a rural environment? This free course, Rural entrepreneurship in Wales, will introduce you to some concepts...",The Open University,tou,/course/openlearn-money-business-rural-entrepreneurship-w-95909,OpenLearn,30 hours worth of material,Free Certificate
Seeing institutions in different ways,"To help you to understand the complexity of institutional development, this free course, Seeing institutions in different ways, will present institutions in three key ways: as rules and norms, as ...",The Open University,tou,/course/openlearn-society-politics-law-seeing-institution-95910,OpenLearn,12 hours worth of material,Free Certificate
Social marketing,"Never before have social issues been more at the centre of public and private debate. From concerns about sustainability and the future of the planet to the introduction of smoking bans, there is a...",The Open University,tou,/course/openlearn-business-strategy-studies-social-market-95911,OpenLearn,8 hours worth of material,Free Certificate
Sustainable innovations in enterprises,"This free online course, Sustainable innovations in enterprises, introduces you to the importance of sustainable innovations, the role it plays in commercial and social enterprises and the ...",The Open University,tou,/course/openlearn-money-business-sustainable-innovations--95913,OpenLearn,9 hours worth of material,Free Certificate
"Technology, innovation and management","Develop a critical understanding of technological innovation and management. This free course, Technology, innovation and management, will provide you with an overview and introduction to a range ...",The Open University,tou,/course/openlearn-money-business-technology-innovation-an-95914,OpenLearn,10 hours worth of material,Free Certificate
Understanding and managing risk,"This free course, Understanding and managing risk, provides an introduction to financial risk management. The processes of risk identification, risk measurement and risk management are explored. ...",The Open University,tou,/course/openlearn-money-business-understanding-and-managi-95915,OpenLearn,20 hours worth of material,Free Certificate
Understanding different research perspectives,"This free course, Understanding different research perspectives, explores the development of the research process looking at the different perspectives from which an issue or phenomenon can be ...",The Open University,tou,/course/openlearn-money-business-understanding-different--95916,OpenLearn,9 hours worth of material,Free Certificate
Understanding mortgages,"Understanding mortgages&nbsp;is a free, short course produced in collaboration with MoneySavingExpert.com.",The Open University,tou,/course/openlearn-money-business-understanding-mortgages-95917,OpenLearn,2 hours worth of material,Free Certificate
Understanding operations management,"Operations management is one of the central functions of all organisations. This free course, Understanding operations management, will provide you with a basic framework for understanding this ...",The Open University,tou,/course/openlearn-leadership-management-understanding-ope-95918,OpenLearn,4 hours worth of material,Free Certificate
Understanding the environment: Learning and communication,"This is the second course in the 'Understanding the&nbsp;environment' series. For more&nbsp;information, see the introductory session&nbsp;here.",The Open University,tou,/course/openlearn-environmental-studies-understanding-the-95919,OpenLearn,12 hours worth of material,Free Certificate
Understanding your customers,"This free course, Understanding your customers, is a short introduction to understanding customers. The course underlines the relevance of understanding customers as individuals, members of society...",The Open University,tou,/course/openlearn-money-business-understanding-your-custo-95920,OpenLearn,8 hours worth of material,Free Certificate
Using data to aid organisational change,This free course explores how to use data to inform a change you would like to make within your business or organisational context.&nbsp;It looks at the type&nbsp;of&nbsp;evidence you can gather to inform your ...,The Open University,tou,/course/openlearn-money-business-using-data-aid-organisat-95921,OpenLearn,10 hours worth of material,Free Certificate
Using voluntary work to get ahead in the job market,"This free course, Using voluntary work to get ahead in the job market, explores how engaging in voluntary work can enhance your employment opportunities",The Open University,tou,/course/openlearn-human-resources-using-voluntary-work-ge-95922,OpenLearn,12 hours worth of material,Free Certificate
What is strategic human resource management?,"This free course, What is strategic human resource management?, is about the interplay between decision making in HR and the multiple environments within which such decisions are made. The ...",The Open University,tou,/course/openlearn-money-business-what-strategic-human-res-95923,OpenLearn,4 hours worth of material,Free Certificate
Animals at the extremes: hibernation and torpor,"Hibernation is an ingenious adaptation that some animals employ to survive difficult conditions in winter. This free course, Animals at the extremes: hibernation and torpor, examines the ...",The Open University,tou,/course/openlearn-natural-history-animals-the-extremes-hi-95924,OpenLearn,14 hours worth of material,Free Certificate
Animals at the extremes: polar biology,"The extreme challenges of life in the polar regions require the animals who make their habitat there to make many adaptations. This free course, Animals at the extremes: polar biology, explores the...",The Open University,tou,/course/openlearn-natural-history-animals-the-extremes-po-95925,OpenLearn,14 hours worth of material,Free Certificate
Animals at the extremes: the desert environment,"Animal life has adapted to survive in the most unlikely and inhospitable habitats. This free course, Animals at the extremes: the desert environment, looks at the surprisingly diverse desert ...",The Open University,tou,/course/openlearn-natural-history-animals-the-extremes-th-95926,OpenLearn,14 hours worth of material,Free Certificate
Biofuels,"This free course, Biofuels, investigates what is meant by a biofuel and covers the advantages of using biofuels compared with fossil fuels. The different types of biofuel are explored, with ...",The Open University,tou,/course/openlearn-science-maths-technology-biofuels-95927,OpenLearn,5 hours worth of material,Free Certificate
Can renewable energy sources power the world?,We ask the question ‘Can renewable energy sources power the world?’ as a response to the growing awareness that increased use of renewable energy technologies is making a major contribution to ...,The Open University,tou,/course/openlearn-can-renewable-energy-sources-power-the--95928,OpenLearn,24 hours worth of material,Free Certificate
Changing cities,"Urban processes are increasingly held to be responsible for causing a variety of problems  environmental destruction, social injustice, global financial instability. They are also identified as ...",The Open University,tou,/course/openlearn-society-politics-law-changing-cities-95929,OpenLearn,15 hours worth of material,Free Certificate
Citizen science and global biodiversity,"This free course, Citizen science and global biodiversity, deals with the importance of biodiversity and explores how anyone can contribute to and be involved in identifying and recording wildlife,...",The Open University,tou,/course/openlearn-citizen-science-and-global-biodiversity-95930,OpenLearn,24 hours worth of material,Free Certificate
Climate change: transitions to sustainability,Human societies have to take urgent action to end their dependences on fossil fuels. We have to alter the whole path of our development and decision making in order to make our societies both ...,The Open University,tou,/course/openlearn-environmental-studies-climate-change-tr-95931,OpenLearn,5 hours worth of material,Free Certificate
Everyday English 2,"This free course, Everyday English 2, will inspire you to improve your current English skills and help you to communicate more effectively in everyday work and life.",The Open University,tou,/course/openlearn-everyday-english-2-content-section-over-95838,OpenLearn,48 hours worth of material,Free Certificate
Everyday English for Health and Social Care and Education Support 2,"This free course will develop and improve your speaking and listening, reading and writing skills for your work in the health, social care and education sector.",The Open University,tou,/course/openlearn-everyday-english-health-and-social-care-95839,OpenLearn,48 hours worth of material,Free Certificate
Gaelic in modern Scotland,"Modern Scotland is a multi-lingual country. Gaelic, Scots and English, along with newer introductions from Europe and beyond, all influence the way Scotland's people now speak to each other and to ...",The Open University,tou,/course/openlearn-languages-gaelic-modern-scotland-95840,OpenLearn,15 hours worth of material,Free Certificate
Getting started with Chinese 1,"Have you always wanted to learn how to speak Mandarin Chinese? Are you fascinated by the sound, the script and its ancient civilisation? If so, this introduction will get you started on the ...",The Open University,tou,/course/openlearn-getting-started-chinese-1-content-secti-95841,OpenLearn,8 hours worth of material,Free Certificate
Getting started with Chinese 2,"Have you always wanted to speak Chinese? Have you even started learning a few basic words and expressions? If so, this course will give you more essentials of reading, writing, speaking and ...",The Open University,tou,/course/openlearn-getting-started-chinese-2-content-secti-95842,OpenLearn,8 hours worth of material,Free Certificate
Getting started with Chinese 3,Have you previously learned some basic Chinese and now want to go a step further? This third introductory course in the Getting started with Chinese series will help you consolidate your ...,The Open University,tou,/course/openlearn-getting-started-chinese-3-content-secti-95843,OpenLearn,8 hours worth of material,Free Certificate
Getting started with Chinese business culture essentials,"Business dealings with China are on the increase. As a result, more and more organisations and business people are realising the need of doing more than just adhering to the rules of Chinese ...",The Open University,tou,/course/openlearn-languages-getting-started-chinese-busin-95844,OpenLearn,6 hours worth of material,Free Certificate
Getting started with French 1,"Whether you want to visit, work or live in a French-speaking environment, you will get more out of the experience if you can communicate effectively with people. In this short course you will begin...",The Open University,tou,/course/openlearn-getting-started-french-1-content-sectio-95845,OpenLearn,6 hours worth of material,Free Certificate
Getting started with French 2,"This two-week course offers you the opportunity to discuss food, your likes and dislikes as well as to shop or order food. Little by little, you will improve your ability to make more sophisticated...",The Open University,tou,/course/openlearn-getting-started-french-2-content-sectio-95846,OpenLearn,6 hours worth of material,Free Certificate
Getting started with French 3,"In this course you will learn how to ask for directions in French. Along the way, you will build up your vocabulary so little by little you will be able to have more complex conversations and ...",The Open University,tou,/course/openlearn-getting-started-french-3-content-sectio-95847,OpenLearn,6 hours worth of material,Free Certificate
Getting started with German 1,"Almost 100 million people speak German as their main language. Most of them live in Germany, Austria and Switzerland, making German one of the most widely-used languages in Europe. Although now ...",The Open University,tou,/course/openlearn-getting-started-german-1-content-sectio-95848,OpenLearn,6 hours worth of material,Free Certificate
Getting started with German 2,"Starting at a typical breakfast table in a German-speaking country, this course will build your vocabulary, teach you how to express your likes and dislikes and introduce you to grammatical ...",The Open University,tou,/course/openlearn-getting-started-german-2-content-sectio-95849,OpenLearn,6 hours worth of material,Free Certificate
Getting started with German 3,"You'll start this course by building your vocabulary with language to use whilst shopping, such as items of clothing, colours, and how to ask for help. Then, in Week 2, you'll learn how to talk ...",The Open University,tou,/course/openlearn-getting-started-german-3-content-sectio-95850,OpenLearn,8 hours worth of material,Free Certificate
Getting started with Italian 1,"Are you fascinated by the Italian culture and lifestyle, cuisine, historic cities, art and beautiful landscapes? Have you always loved the sound and musicality of the Italian language? Perhaps you’...",The Open University,tou,/course/openlearn-getting-started-italian-1-content-secti-95851,OpenLearn,8 hours worth of material,Free Certificate
Getting started with Italian 2,"In the free course, Getting started with Italian 2, you will learn and practise how to ask and say the time in Italian. This will include learning and practising how to ask and say the time using ...",The Open University,tou,/course/openlearn-getting-started-italian-2-content-secti-95852,OpenLearn,8 hours worth of material,Free Certificate
